Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	89	89	0	100	0.5	20	0
1	78	122	2.8	100	0.25	10	0.8
2	69	105	8	100	0.25	10	0.8
3	117	129	9.4	100	0.25	10	0.8
4	64	89	8	100	0.25	10	0.8
5	43	95	2.8	100	0.25	10	0.8
6	153	31	8	100	0.25	10	0.8
7	125	67	2.2	100	0.25	10	0.8
8	65	73	2	100	0.25	10	0.8
9	98	86	7.8	100	0.25	10	0.8
10	65	78	0.6	100	0.25	10	0.8
11	99	38	8.8	100	0.25	10	0.8
12	144	43	6.6	100	0.25	10	0.8
13	98	65	6.4	100	0.25	10	0.8
14	85	73	1.4	100	0.25	10	0.8
15	158	121	4.8	100	0.25	10	0.8
16	62	153	1.4	100	0.25	10	0.8
17	85	83	4.4	100	0.25	10	0.8
18	131	128	6.6	100	0.25	10	0.8
19	80	54	1	100	0.25	10	0.8
20	168	62	8.8	100	0.25	10	0.8
21	98	101	6.2	100	0.25	10	0.8
22	38	150	5.4	100	0.25	10	0.8
23	105	117	9.2	100	0.25	10	0.8
24	102	81	1.4	100	0.25	10	0.8
25	70	110	9.6	100	0.25	10	0.8
26	88	117	0.4	100	0.25	10	0.8
27	107	146	7.4	100	0.25	10	0.8
28	27	129	9.6	100	0.25	10	0.8
29	48	56	8.8	100	0.25	10	0.8
30	121	71	9	100	0.25	10	0.8
31	107	18	6	100	0.25	10	0.8
32	37	54	0.2	100	0.25	10	0.8
33	116	98	9	100	0.25	10	0.8
34	94	154	5.8	100	0.25	10	0.8
35	45	54	7.2	100	0.25	10	0.8
36	18	134	5.4	100	0.25	10	0.8
37	93	73	1.6	100	0.25	10	0.8
38	71	100	3	100	0.25	10	0.8
39	94	46	6.6	100	0.25	10	0.8
40	91	100	5.2	100	0.25	10	0.8
41	88	173	9.6	100	0.25	10	0.8
42	50	35	4.2	100	0.25	10	0.8
43	66	134	7.6	100	0.25	10	0.8
44	100	93	0.4	100	0.25	10	0.8
45	130	160	4.4	100	0.25	10	0.8
46	128	107	2.8	100	0.25	10	0.8
47	96	76	7.6	100	0.25	10	0.8
48	49	69	8	100	0.25	10	0.8
49	49	83	0.2	100	0.25	10	0.8
50	134	99	2	100	0.25	10	0.8
51	95	42	0.4	100	0.25	10	0.8
52	61	153	7.2	100	0.25	10	0.8
53	121	75	7.8	100	0.25	10	0.8
54	80	125	2.4	100	0.25	10	0.8
55	33	39	6.6	100	0.25	10	0.8
56	109	107	5.2	100	0.25	10	0.8
57	38	71	3.4	100	0.25	10	0.8
58	47	110	3.2	100	0.25	10	0.8
59	75	47	9.8	100	0.25	10	0.8
60	118	61	6	100	0.25	10	0.8
61	61	111	4	100	0.25	10	0.8
62	135	48	10	100	0.25	10	0.8
63	99	162	3	100	0.25	10	0.8
64	116	91	4.6	100	0.25	10	0.8
65	88	108	0.6	100	0.25	10	0.8
66	112	146	4.4	100	0.25	10	0.8
67	75	95	3.8	100	0.25	10	0.8
68	75	100	6.2	100	0.25	10	0.8
69	91	94	7	100	0.25	10	0.8
70	52	53	2.2	100	0.25	10	0.8
71	89	89	0.6	100	0.25	10	0.8
72	150	120	2.4	100	0.25	10	0.8
73	145	57	4.8	100	0.25	10	0.8
74	124	77	2	100	0.25	10	0.8
75	63	135	8.4	100	0.25	10	0.8
76	68	112	4.2	100	0.25	10	0.8
77	49	23	8.2	100	0.25	10	0.8
78	130	64	4	100	0.25	10	0.8
79	48	110	8.4	100	0.25	10	0.8
80	69	73	9.4	100	0.25	10	0.8
81	169	115	7	100	0.25	10	0.8
82	117	86	9	100	0.25	10	0.8
83	83	88	9	100	0.25	10	0.8
84	150	112	5	100	0.25	10	0.8
85	63	168	7.8	100	0.25	10	0.8
-1
