Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	157	157	0	100	0.5	20	0
1	156	168	7.2	100	0.25	10	0.8
2	112	221	3.4	100	0.25	10	0.8
3	207	39	4.6	100	0.25	10	0.8
4	179	203	8.6	100	0.25	10	0.8
5	131	186	8	100	0.25	10	0.8
6	150	97	4.8	100	0.25	10	0.8
7	172	144	4.8	100	0.25	10	0.8
8	283	155	2.2	100	0.25	10	0.8
9	173	196	7.4	100	0.25	10	0.8
10	157	138	9.2	100	0.25	10	0.8
11	126	164	8.4	100	0.25	10	0.8
12	222	94	5.2	100	0.25	10	0.8
13	185	141	10	100	0.25	10	0.8
14	246	188	3.8	100	0.25	10	0.8
15	120	204	3.2	100	0.25	10	0.8
16	142	147	5.2	100	0.25	10	0.8
17	131	237	8.2	100	0.25	10	0.8
18	64	79	8.4	100	0.25	10	0.8
19	76	238	9.4	100	0.25	10	0.8
20	232	269	3.8	100	0.25	10	0.8
21	17	219	3	100	0.25	10	0.8
22	193	199	6.6	100	0.25	10	0.8
23	159	87	5.4	100	0.25	10	0.8
24	175	152	7.4	100	0.25	10	0.8
25	189	95	5.6	100	0.25	10	0.8
26	99	131	1.8	100	0.25	10	0.8
27	169	154	7	100	0.25	10	0.8
28	190	23	1.2	100	0.25	10	0.8
29	186	163	5.6	100	0.25	10	0.8
30	38	144	1	100	0.25	10	0.8
31	194	8	7.2	100	0.25	10	0.8
32	239	195	7.2	100	0.25	10	0.8
33	304	175	1.4	100	0.25	10	0.8
34	146	156	9.2	100	0.25	10	0.8
35	153	109	7.6	100	0.25	10	0.8
36	154	93	7.4	100	0.25	10	0.8
37	214	290	9.8	100	0.25	10	0.8
38	33	188	9	100	0.25	10	0.8
39	63	119	5	100	0.25	10	0.8
40	103	98	6.2	100	0.25	10	0.8
41	302	175	3.2	100	0.25	10	0.8
42	185	118	0.2	100	0.25	10	0.8
43	109	103	3.4	100	0.25	10	0.8
44	214	160	2.2	100	0.25	10	0.8
45	104	170	0.6	100	0.25	10	0.8
46	140	102	5	100	0.25	10	0.8
47	288	202	7.4	100	0.25	10	0.8
-1
