Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	83	83	0	100	0.5	20	0
1	17	112	0.2	100	0.25	10	0.8
2	113	62	2	100	0.25	10	0.8
3	29	102	2.4	100	0.25	10	0.8
4	110	81	2.6	100	0.25	10	0.8
5	91	81	1.6	100	0.25	10	0.8
6	164	90	0.6	100	0.25	10	0.8
7	99	108	1.4	100	0.25	10	0.8
8	68	25	9	100	0.25	10	0.8
9	54	63	5.8	100	0.25	10	0.8
10	31	106	1.8	100	0.25	10	0.8
11	100	76	1.8	100	0.25	10	0.8
12	73	44	2.8	100	0.25	10	0.8
13	69	82	1.2	100	0.25	10	0.8
14	108	52	0.6	100	0.25	10	0.8
15	82	83	6.6	100	0.25	10	0.8
16	107	121	8.2	100	0.25	10	0.8
17	76	41	0.6	100	0.25	10	0.8
18	98	92	3.8	100	0.25	10	0.8
19	85	81	7.6	100	0.25	10	0.8
20	135	19	10	100	0.25	10	0.8
21	5	71	1	100	0.25	10	0.8
22	54	27	9.6	100	0.25	10	0.8
23	89	74	2.2	100	0.25	10	0.8
24	120	74	2	100	0.25	10	0.8
25	104	77	5.2	100	0.25	10	0.8
26	64	144	5.8	100	0.25	10	0.8
27	153	122	5.2	100	0.25	10	0.8
28	78	58	5.8	100	0.25	10	0.8
29	96	57	2	100	0.25	10	0.8
30	67	80	3.8	100	0.25	10	0.8
31	58	69	1.2	100	0.25	10	0.8
32	68	91	7.2	100	0.25	10	0.8
33	105	42	7.8	100	0.25	10	0.8
34	83	69	9.4	100	0.25	10	0.8
35	46	103	4	100	0.25	10	0.8
36	37	129	2	100	0.25	10	0.8
37	148	33	3.6	100	0.25	10	0.8
38	14	83	0.2	100	0.25	10	0.8
39	88	88	3.6	100	0.25	10	0.8
40	63	63	5	100	0.25	10	0.8
41	62	149	2.2	100	0.25	10	0.8
42	83	159	4.4	100	0.25	10	0.8
43	45	28	2.6	100	0.25	10	0.8
44	85	82	9.2	100	0.25	10	0.8
45	59	86	6.4	100	0.25	10	0.8
46	45	69	5.4	100	0.25	10	0.8
47	94	59	1.6	100	0.25	10	0.8
48	83	84	1.6	100	0.25	10	0.8
49	93	60	6.4	100	0.25	10	0.8
50	83	83	9.4	100	0.25	10	0.8
51	48	34	6.6	100	0.25	10	0.8
52	38	42	2.6	100	0.25	10	0.8
53	72	70	6.6	100	0.25	10	0.8
54	111	126	9.6	100	0.25	10	0.8
55	60	32	8.6	100	0.25	10	0.8
56	83	72	7.8	100	0.25	10	0.8
57	141	56	7	100	0.25	10	0.8
58	83	98	3.8	100	0.25	10	0.8
59	17	60	0.2	100	0.25	10	0.8
60	145	39	5.4	100	0.25	10	0.8
61	79	32	7.2	100	0.25	10	0.8
62	94	70	8.2	100	0.25	10	0.8
-1
