Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	173	173	0	100	0.5	20	0
1	271	290	4.6	9.2	0.25	10	0.8
2	249	160	8.4	75.6	0.25	10	0.8
3	205	81	4	24	0.25	10	0.8
4	184	262	9.8	78.4	0.25	10	0.8
5	144	167	5.6	50.4	0.25	10	0.8
6	135	126	9	54	0.25	10	0.8
7	21	173	7.4	14.8	0.25	10	0.8
8	206	218	0.2	0.8	0.25	10	0.8
9	162	158	7.8	54.6	0.25	10	0.8
10	246	134	7.2	72	0.25	10	0.8
11	183	184	5.2	52	0.25	10	0.8
12	169	225	5.6	11.2	0.25	10	0.8
13	66	194	9.2	82.8	0.25	10	0.8
14	237	189	4	20	0.25	10	0.8
15	319	96	0.6	6	0.25	10	0.8
16	18	217	1.4	5.6	0.25	10	0.8
17	92	26	7.2	57.6	0.25	10	0.8
18	199	137	4.2	29.4	0.25	10	0.8
19	193	186	0.8	4.8	0.25	10	0.8
20	124	284	0.2	0.8	0.25	10	0.8
21	14	124	3	18	0.25	10	0.8
22	93	279	4.6	27.6	0.25	10	0.8
23	164	176	6.4	64	0.25	10	0.8
24	197	22	5.8	58	0.25	10	0.8
25	167	257	2.6	23.4	0.25	10	0.8
26	265	230	9.8	58.8	0.25	10	0.8
27	178	178	2.6	20.8	0.25	10	0.8
28	179	205	2	16	0.25	10	0.8
29	309	207	1.2	2.4	0.25	10	0.8
30	226	133	7.8	62.4	0.25	10	0.8
31	35	259	2.4	9.6	0.25	10	0.8
32	28	142	7	42	0.25	10	0.8
33	201	277	3.6	7.2	0.25	10	0.8
34	72	79	7	63	0.25	10	0.8
35	262	106	5	20	0.25	10	0.8
36	225	167	4.4	44	0.25	10	0.8
37	175	159	2.2	17.6	0.25	10	0.8
38	162	197	7	28	0.25	10	0.8
39	243	98	0.6	5.4	0.25	10	0.8
40	212	178	6.4	57.6	0.25	10	0.8
41	85	143	10	70	0.25	10	0.8
42	51	151	5.8	58	0.25	10	0.8
43	235	280	6.4	38.4	0.25	10	0.8
44	84	233	5.4	48.6	0.25	10	0.8
45	174	208	0.4	2.8	0.25	10	0.8
46	177	179	5	10	0.25	10	0.8
47	150	199	1.4	9.8	0.25	10	0.8
48	191	184	7.4	59.2	0.25	10	0.8
49	129	328	4.6	27.6	0.25	10	0.8
50	182	173	2.8	25.2	0.25	10	0.8
51	205	185	7.8	70.2	0.25	10	0.8
52	168	156	1.4	12.6	0.25	10	0.8
53	160	90	3.2	22.4	0.25	10	0.8
54	174	184	1.6	3.2	0.25	10	0.8
55	165	142	6.8	27.2	0.25	10	0.8
56	176	173	7.2	43.2	0.25	10	0.8
57	185	239	10	80	0.25	10	0.8
58	282	271	6.8	54.4	0.25	10	0.8
59	120	172	2.6	20.8	0.25	10	0.8
60	164	157	9.6	86.4	0.25	10	0.8
61	256	164	1.8	14.4	0.25	10	0.8
62	135	136	5.8	52.2	0.25	10	0.8
63	201	254	2.8	25.2	0.25	10	0.8
64	185	192	5.8	29	0.25	10	0.8
65	230	208	5	45	0.25	10	0.8
66	142	157	7.4	44.4	0.25	10	0.8
67	211	239	8.8	17.6	0.25	10	0.8
68	294	199	6.4	64	0.25	10	0.8
69	152	272	3.8	26.6	0.25	10	0.8
70	223	254	7	35	0.25	10	0.8
71	234	75	1.6	12.8	0.25	10	0.8
72	208	51	9.8	58.8	0.25	10	0.8
73	304	63	8.8	79.2	0.25	10	0.8
74	115	84	10	40	0.25	10	0.8
75	325	132	3.4	10.2	0.25	10	0.8
76	192	112	8.2	65.6	0.25	10	0.8
77	112	128	5.2	10.4	0.25	10	0.8
78	311	273	3.8	34.2	0.25	10	0.8
79	145	103	1.6	11.2	0.25	10	0.8
80	162	251	5	10	0.25	10	0.8
81	127	227	9.6	38.4	0.25	10	0.8
82	146	272	0.2	1.2	0.25	10	0.8
83	25	157	3.2	28.8	0.25	10	0.8
84	128	85	5.2	20.8	0.25	10	0.8
85	216	159	0.2	1.6	0.25	10	0.8
86	180	148	8.2	24.6	0.25	10	0.8
87	46	164	8	80	0.25	10	0.8
88	199	117	5	40	0.25	10	0.8
89	250	184	2.6	23.4	0.25	10	0.8
90	188	176	9.8	29.4	0.25	10	0.8
91	169	51	8.2	24.6	0.25	10	0.8
92	188	211	2.6	5.2	0.25	10	0.8
93	138	304	1.6	16	0.25	10	0.8
94	286	134	8.8	61.6	0.25	10	0.8
95	52	119	9.2	82.8	0.25	10	0.8
96	178	142	8.4	67.2	0.25	10	0.8
97	226	41	2.4	24	0.25	10	0.8
98	185	175	0.4	2.8	0.25	10	0.8
99	169	300	8	80	0.25	10	0.8
100	146	5	9.8	88.2	0.25	10	0.8
101	235	85	9.8	39.2	0.25	10	0.8
102	151	136	7.2	28.8	0.25	10	0.8
103	92	114	9.6	96	0.25	10	0.8
-1
