Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	76	76	0	100	0.5	20	0
1	120	111	8.6	43	0.25	10	0.8
2	98	97	8	64	0.25	10	0.8
3	55	105	7.2	28.8	0.25	10	0.8
4	63	66	5.2	10.4	0.25	10	0.8
5	76	81	0.8	8	0.25	10	0.8
6	86	72	0.8	5.6	0.25	10	0.8
7	76	76	0.2	1.4	0.25	10	0.8
8	62	59	8	16	0.25	10	0.8
9	72	67	1.2	3.6	0.25	10	0.8
10	49	65	6.6	52.8	0.25	10	0.8
11	41	26	6.4	38.4	0.25	10	0.8
12	100	73	3.4	20.4	0.25	10	0.8
13	76	76	6.8	47.6	0.25	10	0.8
14	53	98	8.6	86	0.25	10	0.8
15	84	21	3.4	13.6	0.25	10	0.8
16	25	99	7.4	66.6	0.25	10	0.8
17	111	65	1.6	14.4	0.25	10	0.8
18	85	106	5	15	0.25	10	0.8
19	70	102	10	50	0.25	10	0.8
20	64	69	6.2	12.4	0.25	10	0.8
21	118	95	1.8	18	0.25	10	0.8
22	24	78	7.8	23.4	0.25	10	0.8
23	65	17	2.2	15.4	0.25	10	0.8
24	76	75	5.6	39.2	0.25	10	0.8
25	48	76	2.4	19.2	0.25	10	0.8
26	92	45	0.2	1.2	0.25	10	0.8
27	45	28	2.8	19.6	0.25	10	0.8
28	32	120	9.4	75.2	0.25	10	0.8
29	84	2	5.4	32.4	0.25	10	0.8
30	106	96	7.8	23.4	0.25	10	0.8
31	101	105	9.6	76.8	0.25	10	0.8
32	50	79	6.6	46.2	0.25	10	0.8
33	49	64	0.2	0.4	0.25	10	0.8
34	118	80	6.6	66	0.25	10	0.8
35	37	112	5	35	0.25	10	0.8
36	61	61	8.8	17.6	0.25	10	0.8
37	134	67	5	35	0.25	10	0.8
38	72	85	8.8	35.2	0.25	10	0.8
39	5	53	9	90	0.25	10	0.8
40	82	39	9	90	0.25	10	0.8
41	119	126	10	30	0.25	10	0.8
42	62	31	9.6	96	0.25	10	0.8
43	78	89	4.6	36.8	0.25	10	0.8
44	74	73	9.8	29.4	0.25	10	0.8
45	77	4	9.8	88.2	0.25	10	0.8
46	73	80	5.4	32.4	0.25	10	0.8
47	114	75	6.6	66	0.25	10	0.8
48	76	78	10	80	0.25	10	0.8
49	100	23	2.4	24	0.25	10	0.8
50	131	100	7	70	0.25	10	0.8
51	67	66	1	8	0.25	10	0.8
52	27	42	7.8	78	0.25	10	0.8
53	40	58	4.4	39.6	0.25	10	0.8
54	108	49	1.2	6	0.25	10	0.8
55	50	54	2	6	0.25	10	0.8
56	117	83	1.8	14.4	0.25	10	0.8
57	130	55	4.8	19.2	0.25	10	0.8
58	28	24	7.4	66.6	0.25	10	0.8
59	75	29	2	20	0.25	10	0.8
60	104	99	4.2	42	0.25	10	0.8
61	67	94	0.4	2.8	0.25	10	0.8
62	60	75	7.2	36	0.25	10	0.8
63	76	146	3.4	23.8	0.25	10	0.8
64	76	76	4	12	0.25	10	0.8
65	67	26	3.8	34.2	0.25	10	0.8
66	22	82	8.2	41	0.25	10	0.8
67	90	91	9.4	75.2	0.25	10	0.8
68	65	80	1.2	7.2	0.25	10	0.8
69	86	81	8	32	0.25	10	0.8
70	61	129	5.8	34.8	0.25	10	0.8
71	73	61	0.8	2.4	0.25	10	0.8
72	127	113	4.4	8.8	0.25	10	0.8
73	122	17	10	100	0.25	10	0.8
74	78	83	7.6	68.4	0.25	10	0.8
75	50	72	4.2	29.4	0.25	10	0.8
76	56	43	2.6	10.4	0.25	10	0.8
77	66	67	5.8	58	0.25	10	0.8
78	47	104	5.2	15.6	0.25	10	0.8
79	128	48	8.8	79.2	0.25	10	0.8
80	10	69	3.2	12.8	0.25	10	0.8
81	104	59	9.6	96	0.25	10	0.8
82	32	87	5.4	10.8	0.25	10	0.8
83	46	45	5.2	26	0.25	10	0.8
84	79	77	6.8	61.2	0.25	10	0.8
85	102	39	10	100	0.25	10	0.8
86	83	127	7.4	66.6	0.25	10	0.8
87	97	29	3.4	6.8	0.25	10	0.8
88	109	23	7.8	78	0.25	10	0.8
89	22	101	3	6	0.25	10	0.8
90	72	91	3.2	28.8	0.25	10	0.8
91	145	83	1.8	18	0.25	10	0.8
92	30	48	7.6	30.4	0.25	10	0.8
93	96	105	2.4	24	0.25	10	0.8
94	100	97	2.6	15.6	0.25	10	0.8
95	93	65	2	8	0.25	10	0.8
96	100	94	3.6	7.2	0.25	10	0.8
97	85	83	2	4	0.25	10	0.8
98	70	66	3.6	21.6	0.25	10	0.8
99	147	66	2.4	24	0.25	10	0.8
100	96	102	9.6	57.6	0.25	10	0.8
101	50	123	5.4	27	0.25	10	0.8
102	62	71	6.2	43.4	0.25	10	0.8
103	46	77	0.4	3.6	0.25	10	0.8
104	59	32	8.6	43	0.25	10	0.8
105	70	71	0.4	3.2	0.25	10	0.8
106	74	54	0.6	4.2	0.25	10	0.8
107	83	120	7.2	14.4	0.25	10	0.8
108	68	112	5.4	54	0.25	10	0.8
109	37	120	6.4	19.2	0.25	10	0.8
110	124	61	8.2	49.2	0.25	10	0.8
111	12	90	5.8	46.4	0.25	10	0.8
112	76	78	7.4	14.8	0.25	10	0.8
113	32	84	6	48	0.25	10	0.8
114	86	60	4	8	0.25	10	0.8
115	33	103	7	28	0.25	10	0.8
116	78	71	3.6	25.2	0.25	10	0.8
117	133	26	4.6	27.6	0.25	10	0.8
-1
