Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	156	156	0	100	0.5	20	0
1	156	107	1.2	2.4	0.25	10	0.8
2	133	149	1	8	0.25	10	0.8
3	26	211	9.2	82.8	0.25	10	0.8
4	102	298	5.2	52	0.25	10	0.8
5	254	137	5.4	48.6	0.25	10	0.8
6	298	151	3	18	0.25	10	0.8
7	198	89	3	15	0.25	10	0.8
8	156	156	3.6	28.8	0.25	10	0.8
9	80	213	4.2	25.2	0.25	10	0.8
10	203	156	1.2	2.4	0.25	10	0.8
11	159	254	6.8	47.6	0.25	10	0.8
12	198	19	3.6	10.8	0.25	10	0.8
13	278	211	7.4	59.2	0.25	10	0.8
14	142	92	8.8	35.2	0.25	10	0.8
15	171	64	7	14	0.25	10	0.8
16	246	204	3.2	32	0.25	10	0.8
17	155	149	0.2	1	0.25	10	0.8
18	159	155	4.6	32.2	0.25	10	0.8
19	141	87	0.6	4.2	0.25	10	0.8
20	176	133	2.6	7.8	0.25	10	0.8
21	91	256	2.8	28	0.25	10	0.8
22	138	246	7.6	15.2	0.25	10	0.8
23	174	31	7	14	0.25	10	0.8
24	165	154	1	6	0.25	10	0.8
25	162	141	3.4	34	0.25	10	0.8
26	171	86	4.2	12.6	0.25	10	0.8
27	214	299	4.6	13.8	0.25	10	0.8
28	191	173	1.2	8.4	0.25	10	0.8
29	135	73	9.8	78.4	0.25	10	0.8
30	108	163	8.8	26.4	0.25	10	0.8
31	221	203	6.4	32	0.25	10	0.8
32	155	150	1	5	0.25	10	0.8
33	304	116	6.2	49.6	0.25	10	0.8
34	144	143	1.8	3.6	0.25	10	0.8
35	213	95	7	42	0.25	10	0.8
36	158	198	3	9	0.25	10	0.8
37	212	41	5	35	0.25	10	0.8
38	34	71	2.8	8.4	0.25	10	0.8
39	120	168	2.2	17.6	0.25	10	0.8
40	191	42	6	60	0.25	10	0.8
41	51	265	9.2	36.8	0.25	10	0.8
42	169	164	0.2	1.4	0.25	10	0.8
43	250	108	7.8	31.2	0.25	10	0.8
44	99	146	2.6	23.4	0.25	10	0.8
45	268	126	2.6	13	0.25	10	0.8
46	236	176	2	16	0.25	10	0.8
47	152	147	1	4	0.25	10	0.8
48	91	143	0.2	1.4	0.25	10	0.8
49	123	173	4.4	35.2	0.25	10	0.8
50	157	153	6.8	27.2	0.25	10	0.8
51	232	121	8.8	17.6	0.25	10	0.8
52	174	173	7	35	0.25	10	0.8
53	125	195	8.8	79.2	0.25	10	0.8
54	215	155	8.8	70.4	0.25	10	0.8
55	121	120	2.2	8.8	0.25	10	0.8
56	17	158	8.6	51.6	0.25	10	0.8
57	174	233	8	48	0.25	10	0.8
58	134	98	7.6	60.8	0.25	10	0.8
59	216	139	9.6	96	0.25	10	0.8
60	45	128	6.8	27.2	0.25	10	0.8
61	91	43	1.2	3.6	0.25	10	0.8
62	102	22	5.8	58	0.25	10	0.8
-1
