Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	80	80	0	100	0.5	20	0
1	78	78	1	8	0.25	10	0.08
2	159	94	3	21	0.25	10	0.08
3	149	115	6.6	46.2	0.25	10	0.08
4	116	29	5.6	44.8	0.25	10	0.08
5	3	70	9.4	37.6	0.25	10	0.08
6	119	56	4.2	12.6	0.25	10	0.08
7	16	128	8	40	0.25	10	0.08
8	27	76	0.4	2.8	0.25	10	0.08
9	65	118	2.2	13.2	0.25	10	0.08
10	49	144	4.6	36.8	0.25	10	0.08
11	88	45	3.2	16	0.25	10	0.08
12	80	80	5	35	0.25	10	0.08
13	107	90	6	54	0.25	10	0.08
14	106	27	5.8	23.2	0.25	10	0.08
15	21	75	0.8	6.4	0.25	10	0.08
16	82	80	0.8	6.4	0.25	10	0.08
17	89	76	2.2	15.4	0.25	10	0.08
18	76	11	8	16	0.25	10	0.08
19	77	78	8.4	58.8	0.25	10	0.08
20	76	31	8.2	57.4	0.25	10	0.08
21	30	120	2.4	14.4	0.25	10	0.08
22	74	105	3.8	15.2	0.25	10	0.08
23	92	46	4.8	9.6	0.25	10	0.08
24	112	96	9.2	27.6	0.25	10	0.08
25	78	112	0.2	0.4	0.25	10	0.08
26	92	88	1.4	5.6	0.25	10	0.08
27	31	31	6.2	62	0.25	10	0.08
28	30	66	1.6	8	0.25	10	0.08
29	62	117	0.6	5.4	0.25	10	0.08
30	53	55	2	10	0.25	10	0.08
31	91	64	8	24	0.25	10	0.08
32	82	132	8.2	73.8	0.25	10	0.08
33	68	58	0.2	0.8	0.25	10	0.08
34	86	101	7	63	0.25	10	0.08
35	111	81	0.6	2.4	0.25	10	0.08
36	91	10	9	90	0.25	10	0.08
37	70	131	1.8	18	0.25	10	0.08
38	93	99	7	21	0.25	10	0.08
39	34	22	7	14	0.25	10	0.08
40	87	107	2.2	15.4	0.25	10	0.08
41	90	71	0.6	5.4	0.25	10	0.08
42	76	77	3.6	36	0.25	10	0.08
43	125	14	2.2	13.2	0.25	10	0.08
44	72	129	1	8	0.25	10	0.08
45	137	93	3.6	10.8	0.25	10	0.08
46	93	70	2.2	19.8	0.25	10	0.08
47	56	151	8.4	75.6	0.25	10	0.08
48	101	119	0.4	0.8	0.25	10	0.08
49	61	80	5.6	11.2	0.25	10	0.08
50	27	39	9	27	0.25	10	0.08
51	69	49	3.8	15.2	0.25	10	0.08
52	53	107	10	70	0.25	10	0.08
53	83	64	3.8	30.4	0.25	10	0.08
54	131	53	1.2	8.4	0.25	10	0.08
55	152	93	6.6	26.4	0.25	10	0.08
56	140	102	10	80	0.25	10	0.08
57	80	77	2.4	14.4	0.25	10	0.08
58	142	83	1.4	7	0.25	10	0.08
59	86	101	2.4	21.6	0.25	10	0.08
60	79	82	9.6	86.4	0.25	10	0.08
61	79	111	9.6	57.6	0.25	10	0.08
62	51	78	6.6	46.2	0.25	10	0.08
63	144	40	3.8	11.4	0.25	10	0.08
64	103	87	3	9	0.25	10	0.08
65	93	130	1.8	3.6	0.25	10	0.08
66	46	73	9.2	73.6	0.25	10	0.08
67	51	32	7.8	15.6	0.25	10	0.08
68	77	86	5.8	23.2	0.25	10	0.08
69	30	24	8.2	41	0.25	10	0.08
70	36	13	4.4	8.8	0.25	10	0.08
71	116	57	6.8	20.4	0.25	10	0.08
72	24	138	0.2	1.4	0.25	10	0.08
73	45	149	7.4	29.6	0.25	10	0.08
74	89	14	2.6	7.8	0.25	10	0.08
75	83	79	9.2	92	0.25	10	0.08
76	78	87	7.8	54.6	0.25	10	0.08
77	34	23	3.2	19.2	0.25	10	0.08
78	121	145	7.4	44.4	0.25	10	0.08
79	118	106	8	72	0.25	10	0.08
80	38	30	5.6	33.6	0.25	10	0.08
81	67	62	6.4	57.6	0.25	10	0.08
82	87	95	6	48	0.25	10	0.08
83	77	93	3	9	0.25	10	0.08
84	74	77	4.6	32.2	0.25	10	0.08
85	16	108	4.6	23	0.25	10	0.08
86	83	15	8	24	0.25	10	0.08
-1
