Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	152	152	0	100	0.5	20	0
1	60	101	2.6	18.2	0.25	10	0.08
2	140	16	3	30	0.25	10	0.08
3	299	162	3.6	14.4	0.25	10	0.08
4	213	84	4.4	17.6	0.25	10	0.08
5	118	73	9	18	0.25	10	0.08
6	242	272	4.8	9.6	0.25	10	0.08
7	122	192	5.4	27	0.25	10	0.08
8	262	83	3.6	25.2	0.25	10	0.08
9	188	17	5.6	44.8	0.25	10	0.08
10	112	27	4.2	37.8	0.25	10	0.08
11	222	103	5.8	34.8	0.25	10	0.08
12	122	172	8	48	0.25	10	0.08
13	51	103	7.4	14.8	0.25	10	0.08
14	31	201	5.6	33.6	0.25	10	0.08
15	152	153	7.4	74	0.25	10	0.08
16	142	122	8	16	0.25	10	0.08
17	161	91	4.2	42	0.25	10	0.08
18	138	113	2.6	23.4	0.25	10	0.08
19	163	137	5.8	11.6	0.25	10	0.08
20	190	27	6.6	39.6	0.25	10	0.08
21	95	189	5.8	17.4	0.25	10	0.08
22	153	86	1.6	3.2	0.25	10	0.08
23	169	137	0.8	7.2	0.25	10	0.08
24	247	221	5	30	0.25	10	0.08
25	1	168	8.6	68.8	0.25	10	0.08
26	185	183	3	24	0.25	10	0.08
27	133	146	6.6	66	0.25	10	0.08
28	155	163	9.6	67.2	0.25	10	0.08
29	160	177	8.8	61.6	0.25	10	0.08
30	152	159	5.6	16.8	0.25	10	0.08
31	12	187	9.2	64.4	0.25	10	0.08
32	164	147	5.8	46.4	0.25	10	0.08
33	185	293	9.2	18.4	0.25	10	0.08
34	144	142	9.6	86.4	0.25	10	0.08
35	164	226	4.2	37.8	0.25	10	0.08
36	163	123	9.6	19.2	0.25	10	0.08
37	231	25	6.6	66	0.25	10	0.08
38	168	70	6.4	25.6	0.25	10	0.08
39	177	139	8.2	65.6	0.25	10	0.08
40	240	154	7.8	46.8	0.25	10	0.08
41	105	167	2.8	8.4	0.25	10	0.08
42	244	63	3.2	16	0.25	10	0.08
43	153	147	8.2	65.6	0.25	10	0.08
44	157	59	2.2	8.8	0.25	10	0.08
45	95	279	2.6	26	0.25	10	0.08
46	147	225	6.8	68	0.25	10	0.08
47	63	229	7	63	0.25	10	0.08
48	54	114	8	56	0.25	10	0.08
49	271	152	6.2	49.6	0.25	10	0.08
50	85	163	8.2	73.8	0.25	10	0.08
51	192	257	7.4	74	0.25	10	0.08
-1
