Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	86	86	0	100	0.5	20	0
1	96	74	10	50	0.25	10	0.08
2	80	81	0.8	2.4	0.25	10	0.08
3	49	99	4.8	24	0.25	10	0.08
4	7	101	7.2	72	0.25	10	0.08
5	86	86	1.8	5.4	0.25	10	0.08
6	137	71	1	5	0.25	10	0.08
7	152	87	2.6	7.8	0.25	10	0.08
8	85	160	9.6	96	0.25	10	0.08
9	119	35	1.6	11.2	0.25	10	0.08
10	83	57	2.4	16.8	0.25	10	0.08
11	83	41	1.2	12	0.25	10	0.08
12	141	48	3.6	28.8	0.25	10	0.08
13	56	56	0.6	2.4	0.25	10	0.08
14	47	80	9.6	38.4	0.25	10	0.08
15	81	122	7.4	44.4	0.25	10	0.08
16	90	82	1.8	10.8	0.25	10	0.08
17	17	99	5.8	29	0.25	10	0.08
18	124	53	0.6	4.8	0.25	10	0.08
19	80	147	7.2	64.8	0.25	10	0.08
20	160	114	4.8	28.8	0.25	10	0.08
21	148	123	5.4	37.8	0.25	10	0.08
22	63	78	9	81	0.25	10	0.08
23	120	74	1.2	10.8	0.25	10	0.08
24	22	58	6.2	12.4	0.25	10	0.08
25	89	94	2.6	23.4	0.25	10	0.08
26	61	127	6.4	32	0.25	10	0.08
27	86	87	6.4	19.2	0.25	10	0.08
28	128	76	3	9	0.25	10	0.08
29	121	31	9.8	49	0.25	10	0.08
30	62	82	2	20	0.25	10	0.08
-1
